Sample_ID,Sample_Name,Fastq.Read.1.File,Fastq.Read.2.File,ML,TRT,Combos,Comment
127,826H,S127,826H_S127_L001_R1_001.fastq,826H_S127_L001_R2_001.fastq,PA4.3Ihed,Inter,PA 4.17 Ip-PA 4.3 Ihed,
128,311H,S128,311H_S128_L001_R1_001.fastq,311H_S128_L001_R2_001.fastq,PA4.3Ihed,Inter,PA 4.2 Ip-PA 4.3 Ihed,
129,897P,S129,897P_S129_L001_R1_001.fastq,897P_S129_L001_R2_001.fastq,PA4.2Ip,Inter,PA 4.2 Ip-PA 4.12 Ihed,
130,921P,S130,921P_S130_L001_R1_001.fastq,921P_S130_L001_R2_001.fastq,PA4.17Ip,Inter,PA 4.17 Ip-PA 4.12 Ihed,
131,158P,S131,158P_S131_L001_R1_001.fastq,158P_S131_L001_R2_001.fastq,PA4.11Ip,Alone,NA,
132,389AP,S132,389P_S132_L001_R1_001.fastq,389P_S132_L001_R2_001.fastq,PA4.18Ip,Inter,PA 4.18 Ip-PA 4.15 Ihed,idk if it is 389AP 
133,356P,S133,356P_S133_L001_R1_001.fastq,356P_S133_L001_R2_001.fastq,PA4.17Ip,Inter,PA 4.17 Ip-PA 4.12 Ihed,
134,337AP,S134,337AP_S134_L001_R1_001.fastq,337AP_S134_L001_R2_001.fastq,PA4.18Ip,Inter,PA 4.18 Ip-PA 4.2 Ihed,
135,373AP,S135,373AP_S135_L001_R1_001.fastq,373AP_S135_L001_R2_001.fastq,PA4.16Ip,Inter,PA 4.16 Ip-PA 4.2 Ihed,
136,805P,S136,805P_S136_L001_R1_001.fastq,805P_S136_L001_R2_001.fastq,PA4.15Ip,Inter,PA 4.15 Ip-PA 4.15 Ihed,
137,345P,S137,345P_S137_L001_R1_001.fastq,345P_S137_L001_R2_001.fastq,PA4.17Ip,Alone,NA,
138,339AP,S138,339AP_S138_L001_R1_001.fastq,339AP_S138_L001_R2_001.fastq,PA4.14Ip,Inter,PA 4.14 Ip-PA 4.15 Ihed,
