"ML","Species","Trt","Block","Combos","Position","trans.SKL_NODES","trans.DIA_STM","trans.DIA_STM_SIMPLE","trans.AREA","trans.AVG_DENSITY","trans.TD_AVG","trans.WIDTH_MAX","trans.D10","trans.D20","trans.D30","trans.D40","trans.D50","trans.D60","trans.D70","trans.D80","trans.D90","trans.RDISTR_X","trans.RDISTR_Y","trans.SKL_DEPTH","trans.SKL_WIDTH","trans.RTP_COUNT","trans.STA_RANGE","trans.STA_MAX","trans.RTA_RANGE","trans.RTA_MAX","trans.ADVT_COUNT","trans.BASAL_COUNT","trans.ADVT_ANG","trans.BASAL_ANG","trans.HYP_DIA","trans.TAP_DIA","trans.MAX_DIA_90","trans.DROP_50","PC1","PC2","PC3","PC4","Sample_ID"
"PA4.16Ip","Ip","Inter","1","PA 4.16 Ip-PA 4.7 Ihed","144",-0.268631697137935,-0.660717631502609,-0.859878811033362,0.287783032768226,-1.46985737919416,-0.426071375814312,0.728649096904784,-0.917049390956083,-0.98177566469587,-0.920626709119311,-0.785618670891112,-0.72961514497142,-0.698267758970902,-0.694191484594457,-0.694500798452145,-0.761299745862961,0.137645874776128,0.756645676365632,-0.865791158519882,0.7614451675663,0.400202341226379,-0.0653966767928098,0.1476316939836,-0.015167899158378,-1.21603805092738,-2.12429723297423,0.581129234441178,-1.27234557060042,-0.879752942085333,-0.632682789401434,-0.420614358036872,-0.254617770408815,-0.866130473827315,-2.732491010037,-2.62244909013024,-1.04931428205514,-1.39434789860073,"144P"
"PA4.2Ihed","Ihed","Inter","1","PA 4.19 Ip-PA 4.2 Ihed","147A",-0.0237613622823201,-0.174048805941406,-0.876056419723902,0.494486283010732,-1.24481383531183,-0.410254970159497,0.73454559695631,-1.02695920422123,-0.950481491689311,-0.804838718072082,-0.62596156191184,-0.458286531815792,-0.30541724159394,-0.242557836980523,-0.148286781155293,-0.180313902677969,0.436414838441781,0.73863992648805,-0.886687498969453,0.687407048302659,0.0911123169533189,0.446728182209673,0.315070713213604,0.383034190523408,-1.11807332429434,0.252207400568256,-0.0784041166666345,-0.187827952900159,-0.717803955812499,-0.778856593558333,-0.510842862832436,-0.465012352827537,-0.886985702813858,-2.11478322567997,-2.34368372039134,-0.204963944942681,-0.268564121719754,"147AH"
"PA4.19Ip","Ip","Inter","1","PA 4.19 Ip-PA 4.2 Ihed","147A",-0.106081648563166,-0.260907926097123,-0.690588352271746,0.351355224434375,-1.05774218755012,-0.492071669101571,0.951063340366586,-0.741060957457248,-0.860098029438715,-0.910137388085642,-0.994578012472958,-1.10189343718681,-1.17619853811183,-1.23617182247889,-1.27476623577632,-1.33505362733157,-0.107808319655826,0.712754909632925,-0.674878136664912,0.942979908493463,0.127204715397415,0.645475528135859,0.59881427953743,0.80425871043444,-0.140584068030977,-0.936044916202989,0.329364922817422,-0.350938598910803,-0.959574659509991,-0.355859967024513,-0.429774329904037,-0.529058109081737,-0.675550077713899,-2.97925585035673,-2.70490338062651,0.227025221312418,-0.732820045929418,"147AP"
"PA4.12Ihed","Ihed","Inter","1","PA 4.14 Ip-PA 4.12 Ihed","149",-0.992206800544065,-0.444450928334865,-0.909224285744304,-0.127355345419164,-0.394403283124406,-0.416762221235467,0.606161511273804,0.0842935548489806,-0.0626679143257151,-0.0223898434079831,0.0102263028497624,0.0348411864919455,0.0145934121371292,-0.0215997323868923,-0.0636765728520667,-0.155101715707366,0.440156424732695,0.715962190452833,-0.930857410904012,0.498500033570355,-1.19325570169328,0.627239240930491,0.611254796596506,-0.300174460727443,-2.69885167006599,0.0541653477730484,-1.23940649041012,-1.02462224348089,-1.42330993751202,-0.318413709496938,-0.622657329693153,-0.529058109081737,-0.932055339818793,-1.35408336099195,-2.75145134854295,-2.43022756274305,1.27870003401204,"149H"
"PA4.14Ip","Ip","Inter","1","PA 4.14 Ip-PA 4.12 Ihed","149",-1.13789438240805,-0.308935215592696,-1.06400231902345,-0.104039699906122,-1.10744458144308,-0.474512090336033,0.349076914795117,-1.40725756772756,-1.07561501449451,-0.788967896581703,-0.619664697395608,-0.435309100783942,-0.336644737027259,-0.297759122192456,-0.295494167288055,-0.357272197019208,-0.222784847595724,0.788397756482726,-1.11325297039596,0.262985686064381,-0.341224049604373,0.652138703962161,0.618355347526027,-0.258614743006469,-2.73254816258982,-1.53017107458861,-0.223853373691436,-1.71382885486479,-1.7751180803069,-0.348803556947069,-0.315876644203432,-0.529058109081737,-1.11303777837258,-2.67652667871595,-3.5243754206039,-2.19513956630868,0.0822614708749326,"149P"
"PA4.2Ihed","Ihed","Inter","1","PA 4.13 Ip-PA 4.2 Ihed","149A",-0.721713749027189,-0.821888913392146,-0.612513496041053,0.0207437107786121,-0.973751608940694,-0.411942883149743,0.657795300765155,-2.33676908639984,-2.39252437589544,-2.68366894112891,-2.52019673693104,-2.76083279045538,-2.6785226034096,-2.54337312696931,-2.53538682247034,-2.48827825847282,-0.39312365929635,0.70570925308875,-0.581704567432921,0.963650011509706,-0.49493401621507,0.512321575377731,0.635936513801768,0.411154560985831,-0.697559063790957,-0.539960810612574,0.0619974505829446,-0.51743920510004,-0.484087627183949,-0.404376548466904,-0.612335385621355,-0.465012352827537,-0.582521265472072,-6.3804280913465,-3.11130814520823,-0.0197693811006427,-1.55774068874499,"149AH"
"PA4.13Ip","Ip","Inter","1","PA 4.13 Ip-PA 4.2 Ihed","149A",-0.347163094377713,-0.340770777561099,-0.663876841682029,0.188376996259349,-0.896315397025018,-0.475129311921102,0.796179548083513,-1.2212635385787,-1.16071807861576,-1.11006327826439,-1.11295908073847,-1.14423589971319,-1.14721430822052,-1.23716354456865,-1.34866746965241,-1.49166015160184,-0.364981329003697,0.677171047320415,-0.644336268712636,0.803151603297065,0.162830631060004,0.108093584507804,0.620273606805176,0.707323466330917,-0.365919493432026,-0.936044916202989,0.701872482124553,-0.00358412599065088,-0.819847124467136,-0.724802616310642,-0.627697568121839,-0.529058109081737,-0.645063604893455,-3.49420877982565,-2.42376171744545,0.220688451984505,-1.09633796653947,"149AP"
"PA4.13Ip","Ip","Inter","1","PA 4.13 Ip-PA 4.3 Ihed","15",-0.0815860838479375,0.0368505482773282,-0.732049746198073,0.507926403869048,-0.796358907353109,-0.420775198514978,0.608667808650973,-1.05713625967066,-0.999940353952404,-0.912580326015597,-0.838001157370735,-0.785872246589483,-0.790255299012656,-0.676343428948663,-0.630630280870035,-0.583039000100207,0.35808340432047,0.69021210545599,-0.718463077513483,0.658168477033021,0.0911123169533189,0.544284974636948,0.48923847554702,0.275783234707976,-1.49415296264938,-0.936044916202989,0.701872482124553,-1.38054589451122,-0.585368155298051,-0.873213609674867,-0.580075500251766,-0.529058109081737,-0.719062692400913,-2.46321710501727,-2.99072946182495,-0.403513187269857,-0.90130472092999,"15P"
"PA4.19Ip","Ip","Alone","1","none","150",0.133844265482504,-0.699803386326451,-0.557732888293543,0.556299032286759,-0.28933858054793,-0.528413548699505,0.606787987131871,-0.530168584547844,-0.711289931349032,-0.769286024855875,-0.809494422940709,-0.862190386159498,-0.934223260587943,-1.04552739253129,-1.09342729751667,-1.09689180924961,0.375634024828266,0.63335469327046,-0.521465186605729,0.583357777132802,0.604060338636746,0.668991802407578,0.635435441987419,0.323085777732304,-0.916823389976878,0.846333558953879,0.0619974505829446,-0.3423401846344,-0.892493147045803,-0.329454662712631,-0.408833406141254,-0.614289086366464,-0.523035367817064,-2.44520317133195,-2.58945526597478,0.57754205025878,-0.693184808602909,"150P"
"PA4.15Ihed","Ihed","Inter","1","PA 4.2 Ip-PA 4.15 Ihed","151A",-0.692417414403151,-0.638376518547914,-0.851886902058722,-0.0186735361307409,-0.903806510240234,-0.430222846170663,1.05749946375977,0.380237853665211,0.264813871713532,0.24696130106911,0.154076550811224,0.0925583468875604,-0.00234516748718775,-0.100467786937807,-0.216191148457725,-0.383220231858685,1.25485009495658,0.686637470885784,-0.865791158519882,0.995661100213962,-0.21624767591886,0.0279972270109834,0.643065041582176,0.256320772878045,-1.44184963592882,-0.738002863407782,1.26273230666737,0.485852803085713,-1.33861679098915,-0.517399527603095,-0.561937662064082,-0.465012352827537,-0.865188424642938,-1.0817849190284,-2.1592409693393,-0.583629819482864,-0.382590962880683,"151AH"
