Species,Position,Block,Order,ML,UniqId,GerminationDate,Comment1,Dead_plant,DeathCause,RootsHarvested,SeedsCounted,Trt,Comp,Combos,Population,SeedNumber
Ip,343,2,343,PA4.19Ip,343Ip,43262,NA,NA,NA,N,Y,Inter,PA 4.12 Ihed,PA 4.19 Ip-PA 4.12 Ihed,PA4,180
Ip,346,2,346,PA4.11Ip,346Ip,43262,NA,NA,NA,N,Y,Inter,PA 4.9 Ihed,PA 4.11 Ip-PA 4.9 Ihed,PA4,116
Ip,347,2,347,PA4.11Ip,347Ip,43262,NA,NA,NA,N,Y,Alone,NA,NA,PA4,84
Ip,349,2,349,PA4.19Ip,349Ip,43262,NA,NA,NA,N,Y,Inter,PA 4.12 Ihed,PA 4.19 Ip-PA 4.12 Ihed,PA4,398
Ip,349A,2,349,PA4.15Ip,349AIp,43262,NA,NA,NA,N,Y,Inter,PA 4.15 Ihed,PA 4.15 Ip-PA 4.15 Ihed,PA4,481
Ip,350,2,350,PA4.13Ip,350Ip,43262,NA,NA,NA,N,Y,Alone,NA,NA,PA4,134
Ip,351,2,351,PA4.17Ip,351Ip,43258,NA,NA,NA,N,Y,Inter,PA 4.3 Ihed,PA 4.17 Ip-PA 4.3 Ihed,PA4,95
Ip,352,2,352,PA4.16Ip,352Ip,43258,NA,NA,NA,N,Y,Inter,PA 4.9 Ihed,PA 4.16 Ip-PA 4.9 Ihed,PA4,153
Ip,353,2,353,PA4.1Ip,353Ip,43262,NA,NA,NA,N,Y,Inter,PA 4.9 Ihed,PA 4.1 Ip-PA 4.9 Ihed,PA4,139
Ip,355,2,355,PA4.2Ip,355Ip,43262,NA,NA,NA,N,Y,Alone,NA,NA,PA4,119
Ip,355A,2,355,PA4.2Ip,355AIp,43262,NA,NA,NA,N,Y,Inter,PA 4.2 Ihed,PA 4.2 Ip-PA 4.2 Ihed,PA4,149
Ip,359A,2,359,PA4.2Ip,359AIp,43262,NA,NA,NA,N,Y,Inter,PA 4.2 Ihed,PA 4.2 Ip-PA 4.2 Ihed,PA4,121
Ip,35A,1,35,PA4.2Ip,35AIp,43262,NA,NA,NA,N,Y,Inter,PA 4.15 Ihed,PA 4.2 Ip-PA 4.15 Ihed,PA4,158
Ip,36,1,36,PA4.1Ip,36Ip,43258,NA,NA,NA,N,Y,Inter,PA 4.7 Ihed,PA 4.1 Ip-PA 4.7 Ihed,PA4,73
Ip,361A,2,361,PA4.17Ip,361AIp,43262,NA,NA,NA,N,Y,Inter,PA 4.2 Ihed,PA 4.17 Ip-PA 4.2 Ihed,PA4,95
Ip,363A,2,363,PA4.17Ip,363AIp,43262,NA,NA,NA,N,Y,Inter,PA 4.15 Ihed,PA 4.17 Ip-PA 4.15 Ihed,PA4,42
Ip,367A,2,367,PA4.1Ip,367AIp,43262,NA,Y,NA,N,Y,Inter,PA 4.15 Ihed,PA 4.1 Ip-PA 4.15 Ihed,PA4,104
Ip,370,2,370,PA4.13Ip,370Ip,43262,NA,NA,NA,N,Y,Inter,PA 4.3 Ihed,PA 4.13 Ip-PA 4.3 Ihed,PA4,81
Ip,371A,2,371,PA4.19Ip,371AIp,43262,NA,NA,NA,N,Y,Inter,PA 4.15 Ihed,PA 4.19 Ip-PA 4.15 Ihed,PA4,165
Ip,373,2,373,PA4.2Ip,373Ip,43262,NA,NA,NA,N,Y,Inter,PA 4.9 Ihed,PA 4.2 Ip-PA 4.9 Ihed,PA4,60
Ip,375,2,375,PA4.17Ip,375Ip,43262,NA,NA,NA,N,Y,Inter,PA 4.9 Ihed,PA 4.17 Ip-PA 4.9 Ihed,PA4,45
Ip,377,2,377,PA4.18Ip,377Ip,43258,NA,NA,NA,N,Y,Inter,PA 4.3 Ihed,PA 4.18 Ip-PA 4.3 Ihed,PA4,91
Ip,378,2,378,PA4.15Ip,378Ip,43262,NA,NA,NA,N,Y,Inter,PA 4.12 Ihed,PA 4.15 Ip-PA 4.12 Ihed,PA4,177
Ip,38,1,38,PA4.18Ip,38Ip,43258,NA,NA,NA,N,Y,Inter,PA 4.12 Ihed,PA 4.18 Ip-PA 4.12 Ihed,PA4,252
