"","Kingdom","Phylum","Class","Order","Family","Genus"
"Otu00761","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Agromyces"
"Otu00771","Bacteria","Armatimonadetes","Fimbriimonadia","Fimbriimonadales","Fimbriimonadaceae","Fimbriimonadaceae_ge"
"Otu00789","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Polyangiaceae","Polyangium"
"Otu00791","Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus"
"Otu00794","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Intrasporangiaceae","Phycicoccus"
"Otu00795","Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales","Koribacteraceae","Candidatus_Koribacter"
"Otu00798","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Betaproteobacteriales_unclassified","Betaproteobacteriales_unclassified"
"Otu00799","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Rubritaleaceae","Luteolibacter"
"Otu00801","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingobium"
"Otu00804","Bacteria","Actinobacteria","Acidimicrobiia","Microtrichales","Ilumatobacteraceae","Ilumatobacter"
"Otu00805","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Rhizobiaceae_unclassified"
"Otu00807","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Caulobacter"
"Otu00811","Bacteria","Planctomycetes","Planctomycetacia","uncultured","uncultured_fa","uncultured_ge"
"Otu00815","Bacteria","Actinobacteria","Actinobacteria","Streptosporangiales","Streptosporangiaceae","Nonomuraea"
"Otu00821","Bacteria","WS2","WS2_cl","WS2_or","WS2_fa","WS2_ge"
"Otu00823","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Altererythrobacter"
"Otu00829","Bacteria","Armatimonadetes","Chthonomonadetes","Chthonomonadales","Chthonomonadales_fa","Chthonomonadales_ge"
"Otu00852","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","uncultured","uncultured_ge"
"Otu00855","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Cyclobacteriaceae","uncultured"
"Otu00864","Bacteria","Cyanobacteria","Oxyphotobacteria","Nostocales","Nostocales_unclassified","Nostocales_unclassified"
"Otu00873","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","UTBCD1"
"Otu00875","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","uncultured"
"Otu00888","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","A0839","A0839_ge"
"Otu00891","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bacteriovoracaceae","Peredibacter"
"Otu00897","Bacteria","Chloroflexi","Ktedonobacteria","Ktedonobacterales","JG30-KF-AS9","JG30-KF-AS9_ge"
"Otu00901","Bacteria","Cyanobacteria","Oxyphotobacteria","Nostocales","Phormidiaceae","uncultured"
"Otu00910","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Nitrosomonadaceae","IS-44"
"Otu00915","Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Psychrobacillus"
"Otu00917","Bacteria","Cyanobacteria","Oxyphotobacteria","Nostocales","Nostocaceae","Desmonostoc_PCC-7422"
"Otu00918","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Pseudoflavitalea"
"Otu00921","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Enterobacteriaceae_unclassified"
"Otu00942","Bacteria","Actinobacteria","Actinobacteria","Streptosporangiales","Thermomonosporaceae","Actinomadura"
"Otu00943","Bacteria","Actinobacteria","Acidimicrobiia","Microtrichales","Ilumatobacteraceae","Ilumatobacteraceae_unclassified"
"Otu00947","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Polyangiaceae","Pajaroellobacter"
"Otu00959","Bacteria","Planctomycetes","OM190","OM190_or","OM190_fa","OM190_ge"
"Otu00973","Bacteria","Proteobacteria","Alphaproteobacteria","Tistrellales","Geminicoccaceae","Candidatus_Alysiosphaera"
"Otu00977","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Novosphingobium"
"Otu00983","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioidaceae_unclassified"
"Otu00994","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfuromonadales","Geobacteraceae","Geobacter"
"Otu00999","Bacteria","Proteobacteria","Gammaproteobacteria","WD260","WD260_fa","WD260_ge"
"Otu01008","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Lysobacter"
"Otu01014","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","uncultured"
"Otu01016","Bacteria","Acidobacteria","Acidobacteria_unclassified","Acidobacteria_unclassified","Acidobacteria_unclassified","Acidobacteria_unclassified"
"Otu01019","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Nocardiaceae","Rhodococcus"
"Otu01023","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Caulobacteraceae_unclassified"
"Otu01035","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Sandaracinaceae","Sandaracinaceae_unclassified"
"Otu01036","Bacteria","Chloroflexi","Gitt-GS-136","Gitt-GS-136_or","Gitt-GS-136_fa","Gitt-GS-136_ge"
"Otu01037","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Bosea"
"Otu01040","Bacteria","Actinobacteria","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Actinomycetospora"
"Otu01052","Bacteria","Cyanobacteria","Sericytochromatia","Sericytochromatia_or","Sericytochromatia_fa","Sericytochromatia_ge"
"Otu01053","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillaceae_unclassified"
"Otu01057","Bacteria","Cyanobacteria","Melainabacteria","Obscuribacterales","Obscuribacterales_fa","Obscuribacterales_ge"
"Otu01063","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Nannocystaceae","Nannocystaceae_unclassified"
"Otu01089","Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriales_unclassified","Sphingobacteriales_unclassified"
"Otu01091","Bacteria","Spirochaetes","Leptospirae","Leptospirales","Leptospiraceae","Turneriella"
"Otu01094","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio"
"Otu01097","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Microscillaceae","OLB12"
"Otu01099","Bacteria","Actinobacteria","Thermoleophilia","Thermoleophilia_unclassified","Thermoleophilia_unclassified","Thermoleophilia_unclassified"
"Otu01134","Bacteria","Proteobacteria","Gammaproteobacteria","Steroidobacterales","Steroidobacteraceae","Steroidobacteraceae_unclassified"
"Otu01136","Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriales_fa","Acidobacteriales_ge"
"Otu01140","Bacteria","Chloroflexi","Chloroflexia","Kallotenuales","AKIW781","AKIW781_ge"
"Otu01147","Bacteria","Armatimonadetes","Fimbriimonadia","Fimbriimonadales","Fimbriimonadaceae","Fimbriimonadaceae_unclassified"
"Otu01156","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Spirosomaceae","Dyadobacter"
"Otu01158","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","Verrucomicrobiaceae_unclassified"
"Otu01161","Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae","uncultured"
"Otu01162","Bacteria","Proteobacteria","Gammaproteobacteria","Steroidobacterales","Steroidobacteraceae","uncultured"
"Otu01164","Bacteria","Chloroflexi","Ktedonobacteria","Ktedonobacterales","Ktedonobacteraceae","JG30a-KF-32"
"Otu01166","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae","Hirschia"
"Otu01174","Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","uncultured"
"Otu01203","Bacteria","Proteobacteria","Gammaproteobacteria","Aeromonadales","Aeromonadaceae","Aeromonas"
"Otu01232","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Methylobacterium"
"Otu01246","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria_unclassified","Gammaproteobacteria_unclassified","Gammaproteobacteria_unclassified"
"Otu01248","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagales_unclassified","Chitinophagales_unclassified"
"Otu01260","Bacteria","Acidobacteria","Subgroup_11","Subgroup_11_or","Subgroup_11_fa","Subgroup_11_ge"
"Otu01261","Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Cohnella"
"Otu01262","Bacteria","Cyanobacteria","Oxyphotobacteria","Nostocales","Nostocaceae","Tolypothrix_PCC-7601"
"Otu01268","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","37-13","37-13_ge"
"Otu01276","Bacteria","Actinobacteria","Acidimicrobiia","Microtrichales","Microtrichaceae","uncultured"
"Otu01292","Bacteria","Proteobacteria","Deltaproteobacteria","Oligoflexales","Oligoflexaceae","Oligoflexaceae_unclassified"
"Otu01300","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Myxococcaceae","Myxococcus"
"Otu01309","Bacteria","Elusimicrobia","Lineage_IIb","Lineage_IIb_or","Lineage_IIb_fa","Lineage_IIb_ge"
"Otu01310","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Rhodanobacteraceae","Dyella"
"Otu01332","Bacteria","Planctomycetes","Planctomycetacia","Isosphaerales","Isosphaeraceae","Paludisphaera"
"Otu01336","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Polaromonas"
"Otu01351","Bacteria","Actinobacteria","Actinobacteria","Frankiales","Geodermatophilaceae","Geodermatophilus"
"Otu01353","Bacteria","Actinobacteria","Acidimicrobiia","Microtrichales","Microtrichaceae","IMCC26207"
"Otu01366","Bacteria","Actinobacteria","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Kibdelosporangium"
"Otu01367","Bacteria","Bacteroidetes","Ignavibacteria","Kryptoniales","BSV26","BSV26_ge"
"Otu01375","Bacteria","Acidobacteria","Subgroup_22","Subgroup_22_or","Subgroup_22_fa","Subgroup_22_ge"
"Otu01378","Bacteria","Chloroflexi","Chloroflexia","Thermomicrobiales","AKYG1722","AKYG1722_ge"
"Otu01379","Bacteria","Planctomycetes","Planctomycetes_unclassified","Planctomycetes_unclassified","Planctomycetes_unclassified","Planctomycetes_unclassified"
"Otu01384","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Flaviaesturariibacter"
"Otu01389","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Hyphomonadaceae","SWB02"
"Otu01410","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Taibaiella"
"Otu01431","Bacteria","Proteobacteria","Deltaproteobacteria","RCP2-54","RCP2-54_fa","RCP2-54_ge"
"Otu01433","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Nitrosomonadaceae","GOUTA6"
"Otu01449","Bacteria","Cyanobacteria","Oxyphotobacteria","Oxyphotobacteria_unclassified","Oxyphotobacteria_unclassified","Oxyphotobacteria_unclassified"
"Otu01473","Bacteria","Chloroflexi","Ktedonobacteria","Ktedonobacterales","Ktedonobacteraceae","Ktedonobacter"
"Otu01475","Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Parviterribacter"
"Otu01502","Bacteria","Gemmatimonadetes","Longimicrobia","Longimicrobiales","Longimicrobiaceae","Longimicrobiaceae_ge"
"Otu01516","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonadaceae_unclassified"
"Otu01517","Bacteria","Verrucomicrobia","Verrucomicrobiae","Chthoniobacterales","Terrimicrobiaceae","Terrimicrobium"
"Otu01523","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhodomicrobiaceae","Rhodomicrobium"
"Otu01531","Bacteria","Chloroflexi","Chloroflexia","Chloroflexales","Roseiflexaceae","Roseiflexaceae_unclassified"
"Otu01563","Bacteria","Actinobacteria","Actinobacteria","Micromonosporales","Micromonosporaceae","Rhizocola"
"Otu01580","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Nocardiaceae","Smaragdicoccus"
"Otu01591","Bacteria","Planctomycetes","Planctomycetacia","Gemmatales","Gemmataceae","Zavarzinella"
"Otu01592","Bacteria","Spirochaetes","Spirochaetia","Spirochaetales","Spirochaetaceae","Spirochaeta_2"
"Otu01596","Bacteria","Firmicutes","Clostridia","Clostridiales","Peptostreptococcaceae","Romboutsia"
"Otu01612","Bacteria","Chloroflexi","Chloroflexia","Chloroflexales","Chloroflexaceae","Chloroflexaceae_unclassified"
"Otu01634","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Nitrosomonadaceae","mle1-7"
"Otu01638","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Psychroglaciecola"
"Otu01664","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bacteriovoracaceae","Bacteriovorax"
"Otu01675","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","uncultured"
"Otu01678","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidia_unclassified","Bacteroidia_unclassified","Bacteroidia_unclassified"
"Otu01686","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","uncultured","uncultured_ge"
"Otu01734","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Rhodanobacteraceae","Tahibacter"
"Otu01735","Bacteria","Chloroflexi","Chloroflexia","Chloroflexales","Herpetosiphonaceae","Herpetosiphon"
"Otu01737","Bacteria","Proteobacteria","Proteobacteria_unclassified","Proteobacteria_unclassified","Proteobacteria_unclassified","Proteobacteria_unclassified"
"Otu01744","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Promicromonosporaceae","Cellulosimicrobium"
"Otu01750","Bacteria","Proteobacteria","Deltaproteobacteria","Oligoflexales","Oligoflexaceae","uncultured"
"Otu01755","Bacteria","FBP","FBP_cl","FBP_or","FBP_fa","FBP_ge"
"Otu01762","Bacteria","Planctomycetes","Planctomycetacia","Isosphaerales","Isosphaeraceae","Aquisphaera"
"Otu01786","Bacteria","Acidobacteria","Subgroup_15","Subgroup_15_or","Subgroup_15_fa","Subgroup_15_ge"
