"Block","Order","Position","ML","Trt","Comp","Combos","Population","Species","Block.1","Leaf.Number","Comment","X","UniqId","GerminationDate","Comment1","Dead_plant","DeathCause","RootsHarvested","SeedsCounted","SeedNumber"
"1",72,"72","PA4.14Ip","Inter","PA 4.12 Ihed","PA 4.14 Ip-PA 4.12 Ihed","PA4","Ip",1,9,"",293,"72Ip","43258.0",NA,NA,NA,"N","Y",146
"1",73,"73","PA4.14Ip","Inter","PA 4.9 Ihed","PA 4.14 Ip-PA 4.9 Ihed","PA4","Ip",1,6,"",299,"73Ip","43258.0",NA,NA,NA,"N","Y",146
"1",73,"73A","PA4.16Ip","Inter","PA 4.15 Ihed","PA 4.16 Ip-PA 4.15 Ihed","PA4","Ip",1,5,"",304,"73AIp","43262.0",NA,NA,NA,"N","Y",80
"1",74,"74","PA4.11Ip","Inter","PA 4.3 Ihed","PA 4.11 Ip-PA 4.3 Ihed","PA4","Ip",1,8,"",305,"74Ip","43258.0",NA,NA,NA,"N","Y",106
"1",75,"75A","PA4.15Ip","Inter","PA 4.15 Ihed","PA 4.15 Ip-PA 4.15 Ihed","PA4","Ip",1,9,"",317,"75AIp","43262.0",NA,NA,NA,"N","Y",230
"1",77,"77","PA4.2Ip","Inter","PA 4.7 Ihed","PA 4.2 Ip-PA 4.7 Ihed","PA4","Ip",1,7,"",326,"77Ip","43262.0",NA,NA,NA,"N","Y",214
"1",78,"78","PA4.1Ip","Inter","PA 4.3 Ihed","PA 4.1 Ip-PA 4.3 Ihed","PA4","Ip",1,10,"",328,"78Ip","43258.0",NA,NA,NA,"Y","Y",71
"1",79,"79A","PA4.13Ip","Inter","PA 4.2 Ihed","PA 4.13 Ip-PA 4.2 Ihed","PA4","Ip",1,5,"",342,"79AIp","43262.0",NA,NA,NA,"N","Y",67
"1",80,"80","PA4.14Ip","Inter","PA 4.9 Ihed","PA 4.14 Ip-PA 4.9 Ihed","PA4","Ip",1,5,"",343,"80Ip","43258.0",NA,NA,NA,"N","Y",96
"1",82,"82","PA4.1Ip","Inter","PA 4.3 Ihed","PA 4.1 Ip-PA 4.3 Ihed","PA4","Ip",1,16,"",358,"82Ip","43258.0",NA,NA,NA,"N","Y",172
"1",85,"85A","PA4.17Ip","Inter","PA 4.2 Ihed","PA 4.17 Ip-PA 4.2 Ihed","PA4","Ip",1,7,"",385,"85AIp","43264.0",NA,NA,NA,"N","Y",145
"1",87,"87","PA4.18Ip","Inter","PA 4.12 Ihed","PA 4.18 Ip-PA 4.12 Ihed","PA4","Ip",1,9,"",389,"87Ip","43258.0",NA,NA,NA,"N","Y",175
"1",88,"88","PA4.16Ip","Inter","PA 4.7 Ihed","PA 4.16 Ip-PA 4.7 Ihed","PA4","Ip",1,15,"",394,"88Ip","43258.0",NA,NA,NA,"N","Y",149
"1",9,"9A","PA4.14Ip","Inter","PA 4.2 Ihed","PA 4.14 Ip-PA 4.2 Ihed","PA4","Ip",1,9,"",438,"9AIp","43262.0",NA,NA,NA,"N","Y",22
"1",90,"90","PA4.2Ip","Inter","PA 4.12 Ihed","PA 4.2 Ip-PA 4.12 Ihed","PA4","Ip",1,10,"",404,"90Ip","43262.0",NA,NA,NA,"N","Y",262
"1",96,"96","PA4.16Ip","Inter","PA 4.7 Ihed","PA 4.16 Ip-PA 4.7 Ihed","PA4","Ip",1,8,"",420,"96Ip","43262.0",NA,NA,NA,"N","Y",164
"1",97,"97A","PA4.1Ip","Inter","PA 4.15 Ihed","PA 4.1 Ip-PA 4.15 Ihed","PA4","Ip",1,5,"",430,"97AIp","43262.0",NA,NA,NA,"Y","Y",114
"1",99,"99","PA4.11Ip","Alone","NA","NA","PA4","Ip",1,11,"",431,"99Ip","43258.0",NA,NA,NA,"N","Y",143
"1",99,"99A","PA4.1Ip","Inter","PA 4.15 Ihed","PA 4.1 Ip-PA 4.15 Ihed","PA4","Ip",1,10,"",437,"99AIp","43262.0",NA,NA,NA,"N","Y",71
"2",255,"255","PA4.13Ip","Inter","PA 4.7 Ihed","PA 4.13 Ip-PA 4.7 Ihed","PA4","Ip",2,9,"",69,"255Ip","43258.0",NA,NA,NA,"N","Y",289
"2",256,"256","PA4.1Ip","Inter","PA 4.9 Ihed","PA 4.1 Ip-PA 4.9 Ihed","PA4","Ip",2,7,"",70,"256Ip","43258.0",NA,NA,NA,"N","Y",276
"2",259,"259","PA4.1Ip","Inter","PA 4.12 Ihed","PA 4.1 Ip-PA 4.12 Ihed","PA4","Ip",2,9,"",71,"259Ip","43258.0",NA,NA,NA,"N","Y",241
"2",260,"260","PA4.15Ip","Inter","PA 4.12 Ihed","PA 4.15 Ip-PA 4.12 Ihed","PA4","Ip",2,7,"",72,"260Ip","43258.0",NA,NA,NA,"N","Y",316
"2",261,"261","PA4.18Ip","Inter","PA 4.9 Ihed","PA 4.18 Ip-PA 4.9 Ihed","PA4","Ip",2,5,"",73,"261Ip","43258.0",NA,NA,NA,"N","Y",112
"2",264,"264","PA4.18Ip","Inter","PA 4.12 Ihed","PA 4.18 Ip-PA 4.12 Ihed","PA4","Ip",2,8,"",74,"264Ip","43258.0",NA,NA,NA,"N","Y",172
"2",265,"265","PA4.15Ip","Alone","NA","NA","PA4","Ip",2,8,"",75,"265Ip","43258.0",NA,NA,NA,"N","Y",95
"2",270,"270","PA4.16Ip","Alone","NA","NA","PA4","Ip",2,5,"",78,"270Ip","43258.0",NA,NA,NA,"N","Y",111
"2",282,"282","PA4.19Ip","Inter","PA 4.7 Ihed","PA 4.19 Ip-PA 4.7 Ihed","PA4","Ip",2,8,"",80,"282Ip","43258.0",NA,NA,NA,"N","Y",121
"2",284,"284","PA4.16Ip","Inter","PA 4.7 Ihed","PA 4.16 Ip-PA 4.7 Ihed","PA4","Ip",2,6,"",81,"284Ip","43258.0",NA,NA,NA,"N","Y",57
"2",286,"286","PA4.11Ip","Inter","PA 4.9 Ihed","PA 4.11 Ip-PA 4.9 Ihed","PA4","Ip",2,14,"",82,"286Ip","43258.0",NA,NA,NA,"N","Y",204
"2",297,"297","PA4.2Ip","Inter","PA 4.12 Ihed","PA 4.2 Ip-PA 4.12 Ihed","PA4","Ip",2,5,"",84,"297Ip","43258.0",NA,NA,NA,"N","Y",54
"2",300,"300","PA4.18Ip","Inter","PA 4.12 Ihed","PA 4.18 Ip-PA 4.12 Ihed","PA4","Ip",2,6,"",87,"300Ip","43258.0",NA,NA,NA,"N","Y",88
