Sample_ID,Fastq.Read.1.File,Fastq.Read.2.File,ML,TRT,Combos,Block,Comment
453P,453P_S159_L001_R1_001.fastq,453P_S159_L001_R2_001.fastq,PA4.11Ip,Inter,PA 4.11 Ip-PA 4.12 Ihed,2,
483P,483P_S160_L001_R1_001.fastq,483P_S160_L001_R2_001.fastq,PA4.2Ip,Inter,PA 4.2 Ip-PA 4.12 Ihed,2,
463P,463P_S161_L001_R1_001.fastq,463P_S161_L001_R2_001.fastq,PA4.11Ip,Inter,PA 4.11 Ip-PA 4.3 Ihed,2,
675AH,675AH_S162_L001_R1_001.fastq,675AH_S162_L001_R2_001.fastq,PA4.15Ihed,Inter,PA 4.19 Ip-PA 4.15 Ihed,3,
124P,124P_S163_L001_R1_001.fastq,124P_S163_L001_R2_001.fastq,PA4.11Ip,Inter,PA 4.11 Ip-PA 4.12 Ihed,1,
602H,602H_S164_L001_R1_001.fastq,602H_S164_L001_R2_001.fastq,PA4.12Ihed,Inter,PA 4.19 Ip-PA 4.12 Ihed,3,
798P,798P_S165_L001_R1_001.fastq,798P_S165_L001_R2_001.fastq,PA4.14Ip,Inter,PA 4.14 Ip-PA 4.3 Ihed,4,
272H,272H_S166_L001_R1_001.fastq,272H_S166_L001_R2_001.fastq,PA4.12Ihed,Inter,PA 4.16 Ip-PA 4.12 Ihed,2,
337AH,337AH_S167_L001_R1_001.fastq,337AH_S167_L001_R2_001.fastq,PA4.2Ihed,Inter,PA 4.18 Ip-PA 4.2 Ihed,2,
383AH,383AH_S168_L001_R1_001.fastq,383AH_S168_L001_R2_001.fastq,PA4.15Ihed,Inter,PA 4.17 Ip-PA 4.15 Ihed,2,
768P,768P_S169_L001_R1_001.fastq,768P_S169_L001_R2_001.fastq,PA4.16Ip,Alone,none,4,
502P,502P_S170_L001_R1_001.fastq,502P_S170_L001_R2_001.fastq,PA4.19Ip,Inter,PA 4.19 Ip-PA 4.2 Ihed,3,
339P,339P_S171_L001_R1_001.fastq,339P_S171_L001_R2_001.fastq,PA4.15Ip,Inter,PA 4.15 Ip-PA 4.3 Ihed,2,
543P,543P_S172_L001_R1_001.fastq,543P_S172_L001_R2_001.fastq,PA4.16Ip,Inter,PA 4.16 Ip-PA 4.12 Ihed,3,
693H,693H_S173_L001_R1_001.fastq,693H_S173_L001_R2_001.fastq,PA4.3Ihed,Inter,PA 4.15 Ip-PA 4.3 Ihed,3,
857AP,857AP_S174_L001_R1_001.fastq,857AP_S174_L001_R2_001.fastq,PA4.16Ip,Inter,PA 4.16 Ip-PA 4.15 Ihed,4,
143AP,143AP_S176_L001_R1_001.fastq,143AP_S176_L001_R2_001.fastq,PA4.18Ip,Inter,PA 4.18 Ip-PA 4.2 Ihed,1,
117AH,117AH_S177_L001_R1_001.fastq,117AH_S177_L001_R2_001.fastq,PA4.15Ihed,Inter,PA 4.18 Ip-PA 4.15 Ihed,1,
844P,844P_S178_L001_R1_001.fastq,844P_S178_L001_R2_001.fastq,PA4.17Ip,Inter,PA 4.17 Ip-PA 4.15 Ihed,4,
861P,861P_S179_L001_R1_001.fastq,861P_S179_L001_R2_001.fastq,PA4.13Ip,Inter,PA 4.13 Ip-PA 4.12 Ihed,4,
155AH,155AH_S180_L001_R1_001.fastq,155AH_S180_L001_R2_001.fastq,PA4.2Ihed,Inter,PA 4.19 Ip-PA 4.2 Ihed,1,
797AP,797AP_S181_L001_R1_001.fastq,797AP_S181_L001_R2_001.fastq,PA4.19Ip,Inter,PA 4.19 Ip-PA 4.2 Ihed,4,
661P,661P_S182_L001_R1_001.fastq,661P_S182_L001_R2_001.fastq,PA4.2Ip,Inter,PA 4.2 Ip-PA 4.15 Ihed,3,
155AP,155AP_S183_L001_R1_001.fastq,155AP_S183_L001_R2_001.fastq,PA4.19Ip,Inter,PA 4.19 Ip-PA 4.2 Ihed,1,
