Sample_ID,Sample_Name,Fastq Read 1 File,Fastq Read 2 File,ML,TRT,Combos,Comment
383AH,S148,383H_S148_L001_R1_001.fastq,383H_S148_L001_R2_001.fastq,PA4.15Ihed,Inter,PA 4.17 Ip-PA 4.15 Ihed,idk if it is 383AH
143AH,S149,143AH_S149_L001_R1_001.fastq,143AH_S149_L001_R2_001.fastq,PA4.2Ihed,Inter,PA 4.18 Ip-PA 4.2 Ihed,
375AP,S150,375AP_S150_L001_R1_001.fastq,375AP_S150_L001_R2_001.fastq,PA4.16Ip,Inter,PA 4.16 Ip-PA 4.15 Ihed,
291P,S151,291P_S151_L001_R1_001.fastq,291P_S151_L001_R2_001.fastq,PA4.19Ip,Inter,PA 4.19 Ip-PA 4.12 Ihed,
583P,S152,583P_S152_L001_R1_001.fastq,583P_S152_L001_R2_001.fastq,PA4.15Ip,Inter,PA 4.15 Ip-PA 4.12 Ihed,
141AH,S153,141AH_S153_L001_R1_001.fastq,141AH_S153_L001_R2_001.fastq,PA4.15Ihed,Inter,PA 4.18 Ip-PA 4.15 Ihed,
746P,S154,746P_S154_L001_R1_001.fastq,746P_S154_L001_R2_001.fastq,PA4.18Ip,Inter,PA 4.18 Ip-PA 4.12 Ihed,
420P,S155,420P_S155_L001_R1_001.fastq,420P_S155_L001_R2_001.fastq,PA4.13Ip,Inter,PA 4.13 Ip-PA 4.12 Ihed,
387H,S156,387H_S156_L001_R1_001.fastq,387H_S156_L001_R2_001.fastq,PA4.12Ihed,Inter,PA 4.17 Ip-PA 4.12 Ihed,
43H,S157,43H_S157_L001_R1_001.fastq,43H_S157_L001_R2_001.fastq,PA4.12Ihed,Inter,PA 4.16 Ip-PA 4.12 Ihed,
420H,S158,420H_S158_L001_R1_001.fastq,420H_S158_L001_R2_001.fastq,PA4.12Ihed,Inter,PA 4.13 Ip-PA 4.12 Ihed,
453P,S159,453P_S159_L001_R1_001.fastq,453P_S159_L001_R2_001.fastq,PA4.11Ip,Inter,PA 4.11 Ip-PA 4.12 Ihed,
483P,S160,483P_S160_L001_R1_001.fastq,483P_S160_L001_R2_001.fastq,PA4.2Ip,Inter,PA 4.2 Ip-PA 4.12 Ihed,
463P,S161,463P_S161_L001_R1_001.fastq,463P_S161_L001_R2_001.fastq,PA4.11Ip,Inter,PA 4.11 Ip-PA 4.3 Ihed,
675AH,S162,675AH_S162_L001_R1_001.fastq,675AH_S162_L001_R2_001.fastq,PA4.15Ihed,Inter,PA 4.19 Ip-PA 4.15 Ihed,
124P,S163,124P_S163_L001_R1_001.fastq,124P_S163_L001_R2_001.fastq,PA4.11Ip,Inter,PA 4.11 Ip-PA 4.12 Ihed,
602H,S164,602H_S164_L001_R1_001.fastq,602H_S164_L001_R2_001.fastq,PA4.12Ihed,Inter,PA 4.19 Ip-PA 4.12 Ihed,
798P,S165,798P_S165_L001_R1_001.fastq,798P_S165_L001_R2_001.fastq,PA4.14Ip,Inter,PA 4.14 Ip-PA 4.3 Ihed,
272H,S166,272H_S166_L001_R1_001.fastq,272H_S166_L001_R2_001.fastq,PA4.12Ihed,Inter,PA 4.16 Ip-PA 4.12 Ihed,
337AH,S167,337AH_S167_L001_R1_001.fastq,337AH_S167_L001_R2_001.fastq,PA4.2Ihed,Inter,PA 4.18 Ip-PA 4.2 Ihed,
383AH,S168,383AH_S168_L001_R1_001.fastq,383AH_S168_L001_R2_001.fastq,PA4.15Ihed,Inter,PA 4.17 Ip-PA 4.15 Ihed,
768P,S169,768P_S169_L001_R1_001.fastq,768P_S169_L001_R2_001.fastq,PA4.16Ip,Alone,NA,
502P,S170,502P_S170_L001_R1_001.fastq,502P_S170_L001_R2_001.fastq,PA4.19Ip,Inter,PA 4.19 Ip-PA 4.2 Ihed,
339P,S171,339P_S171_L001_R1_001.fastq,339P_S171_L001_R2_001.fastq,PA4.15Ip,Inter,PA 4.15 Ip-PA 4.3 Ihed,
543P,S172,543P_S172_L001_R1_001.fastq,543P_S172_L001_R2_001.fastq,PA4.16Ip,Inter,PA 4.16 Ip-PA 4.12 Ihed,
693H,S173,693H_S173_L001_R1_001.fastq,693H_S173_L001_R2_001.fastq,PA4.3Ihed,Inter,PA 4.15 Ip-PA 4.3 Ihed,
857AP,S174,857AP_S174_L001_R1_001.fastq,857AP_S174_L001_R2_001.fastq,PA4.16Ip,Inter,PA 4.16 Ip-PA 4.15 Ihed,
349H,S175,349H_2_S175_L001_R1_001.fastq,349H_2_S175_L001_R2_001.fastq,PA4.12Ihed,Inter,PA 4.19 Ip-PA 4.12 Ihed,Duplicate?
143AP,S176,143AP_S176_L001_R1_001.fastq,143AP_S176_L001_R2_001.fastq,PA4.18Ip,Inter,PA 4.18 Ip-PA 4.2 Ihed,
117AH,S177,117AH_S177_L001_R1_001.fastq,117AH_S177_L001_R2_001.fastq,PA4.15Ihed,Inter,PA 4.18 Ip-PA 4.15 Ihed,
